Q-function training is starting
[Epoch 2170/1000000] Q loss: 0.0029798963273850176, score: 0, distance survived: 37
[Epoch 2180/1000000] Q loss: 0.0044106914523171555, score: 0, distance survived: 71
[Epoch 2190/1000000] Q loss: 0.0032726534340633616, score: 0, distance survived: 61
[Epoch 2200/1000000] Q loss: 0.004663497821343936, score: 0, distance survived: 63
[Epoch 2210/1000000] Q loss: 0.003451632237702215, score: 0, distance survived: 68
[Epoch 2220/1000000] Q loss: 0.0036063251444803553, score: 0, distance survived: 63
[Epoch 2230/1000000] Q loss: 0.0035911876984640115, score: 0, distance survived: 64
[Epoch 2240/1000000] Q loss: 0.0038157368332245997, score: 0, distance survived: 61
[Epoch 2250/1000000] Q loss: 0.0025416956038443674, score: 0, distance survived: 74
[Epoch 2260/1000000] Q loss: 0.005277199963647147, score: 0, distance survived: 60
[Epoch 2270/1000000] Q loss: 0.0029444081280368783, score: 0, distance survived: 73
[Epoch 2280/1000000] Q loss: 0.003484859630047015, score: 0, distance survived: 64
[Epoch 2290/1000000] Q loss: 0.003106091063597026, score: 0, distance survived: 78
[Epoch 2300/1000000] Q loss: 0.009082028943748523, score: 0, distance survived: 74
[Epoch 2310/1000000] Q loss: 0.0038512992941132722, score: 0, distance survived: 40
[Epoch 2320/1000000] Q loss: 0.005338132064494051, score: 0, distance survived: 76
[Epoch 2330/1000000] Q loss: 0.0035454719719320836, score: 0, distance survived: 63
[Epoch 2340/1000000] Q loss: 0.002878775522752971, score: 0, distance survived: 79
[Epoch 2350/1000000] Q loss: 0.0037953290013693192, score: 0, distance survived: 75
[Epoch 2360/1000000] Q loss: 0.004144864942358765, score: 0, distance survived: 65
[Epoch 2370/1000000] Q loss: 0.0026326476379020416, score: 0, distance survived: 63
[Epoch 2380/1000000] Q loss: 0.0054471262163967886, score: 0, distance survived: 64
[Epoch 2390/1000000] Q loss: 0.0063157320684807585, score: 0, distance survived: 63
[Epoch 2400/1000000] Q loss: 0.005581162025317656, score: 0, distance survived: 64
[Epoch 2410/1000000] Q loss: 0.003921216110105081, score: 0, distance survived: 64
[Epoch 2420/1000000] Q loss: 0.002793797306077171, score: 0, distance survived: 37
[Epoch 2430/1000000] Q loss: 0.003495537902114945, score: 0, distance survived: 35
[Epoch 2440/1000000] Q loss: 0.0028982491686202053, score: 0, distance survived: 63
[Epoch 2450/1000000] Q loss: 0.003168605249973609, score: 0, distance survived: 37
[Epoch 2460/1000000] Q loss: 0.004775324610636623, score: 0, distance survived: 76
[Epoch 2470/1000000] Q loss: 0.0070087103647974575, score: 0, distance survived: 64
[Epoch 2480/1000000] Q loss: 0.002617083865759154, score: 0, distance survived: 61
